Problema,Solver,Status,Tempo_Segundos,Valor_Objetivo,F_Star,Gap,Dual_Infeasibility,Primal_Infeasibility,Iteracoes,Timestamp
ex8_4_6,Ipopt,LOCALLY_SOLVED,0.0137048,0.0011049789651165582,0.0011,4.973494272858025e-6,-4.998835875832876e-7,NaN,23,2026-05-23T06:18:57.458
ex8_4_7,Ipopt,LOCALLY_SOLVED,0.0068389,29.047306721620732,28.898,0.004993869878277216,-6.355620117732164e-7,NaN,12,2026-05-23T06:18:57.590
ex8_4_8,Ipopt,LOCALLY_SOLVED,0.0226999,3.321847314106423,3.3218,1.0947777875654137e-5,-2.6276817703780898e-5,NaN,51,2026-05-23T06:18:57.695
ex8_5_1,Ipopt,LOCALLY_SOLVED,0.0047567,-4.071941712543472e-7,0.0,4.071941712543472e-7,0.10149786979591853,NaN,12,2026-05-23T06:18:57.725
ex8_5_2,Ipopt,LOCALLY_SOLVED,0.0135586,-1.1877054531124378e-8,-0.0002,0.00019994813331880514,-0.706734059682768,NaN,35,2026-05-23T06:18:57.763
ex8_5_3,Ipopt,LOCALLY_SOLVED,0.0047846,4.093184273053807e-5,-0.0042,0.004223194426140747,0.2131899335513015,NaN,12,2026-05-23T06:18:57.789
ex8_5_4,Ipopt,LOCALLY_SOLVED,0.0054139,-0.00042514719168953427,-0.0004,2.513713683480033e-5,0.058134052141448796,NaN,10,2026-05-23T06:18:57.821
ex8_5_5,Ipopt,LOCALLY_SOLVED,0.0077512,6.455770596896704e-7,-0.0108,0.010685244931796291,-0.030299415998401868,NaN,9,2026-05-23T06:18:57.872
ex8_5_6,Ipopt,LOCALLY_SOLVED,0.0088737,9.880170581295608e-7,-0.0012,0.0011995485587875843,-0.09849876560934896,NaN,9,2026-05-23T06:18:57.925
ex8_6_1,Ipopt,ERRO: LoadError,300.0,NaN,-28.4225,NaN,NaN,NaN,0,2026-05-23T06:18:58.189
ex8_6_2,Ipopt,LOCALLY_SOLVED,0.3197474,-31.888629634850282,-31.8886,9.010675517406824e-7,-5.673427484075768e-7,NaN,438,2026-05-23T06:18:58.614
ex9_1_1,Ipopt,ALMOST_LOCALLY_SOLVED,0.0098106,-12.994345689349256,-13.0,0.0004038793321960047,-13.01131546476688,NaN,23,2026-05-23T06:18:58.665
ex9_1_2,Ipopt,LOCALLY_SOLVED,0.01056,-3.0,-16.0,0.7647058823529411,-3.0000004545281778,NaN,32,2026-05-23T06:18:58.715
ex9_1_4,Ipopt,LOCALLY_SOLVED,0.0144797,-36.99999999999999,-37.0,1.8698493046318425e-16,-37.0000004137025,NaN,43,2026-05-23T06:18:58.777
ex9_1_5,Ipopt,LOCALLY_SOLVED,0.0096888,4.0,-1.0,2.5,3.999999272731076,NaN,25,2026-05-23T06:18:58.831
ex9_1_8,Ipopt,ALMOST_LOCALLY_SOLVED,0.0189546,-3.2499944956579188,-3.25,1.2951393132333486e-6,-2.330981568694101,NaN,41,2026-05-23T06:18:58.888
ex9_2_2,Ipopt,LOCALLY_SOLVED,0.009229,100.00000007738763,99.9995,4.951285774955167e-6,299.9999996364152,NaN,26,2026-05-23T06:18:58.937
ex9_2_3,Ipopt,LOCALLY_SOLVED,0.0108028,4.999999966818192,0.0,4.999999966818192,4.999999547110228,NaN,27,2026-05-23T06:18:59.011
ex9_2_4,Ipopt,LOCALLY_SOLVED,0.0066778,0.5000000000000069,0.5,4.588921835117314e-15,2.9999997883374387,NaN,20,2026-05-23T06:18:59.062
ex9_2_5,Ipopt,LOCALLY_SOLVED,0.0094913,9.000000000000002,5.0,0.666666666666667,42.99999969698061,NaN,32,2026-05-23T06:18:59.099
ex9_2_6,Ipopt,ALMOST_LOCALLY_SOLVED,0.0163475,-0.9999894111516877,-1.0,5.294424156143673e-6,0.006507421832840114,NaN,37,2026-05-23T06:18:59.161
ex9_2_7,Ipopt,LOCALLY_SOLVED,0.0108701,17.000000168484767,17.0,9.360264859499997e-9,17.999999794894464,NaN,34,2026-05-23T06:18:59.206
ex9_2_8,Ipopt,LOCALLY_SOLVED,0.0055366,1.5000001618181735,1.5,6.472726941098017e-8,1.4999997723604475,NaN,8,2026-05-23T06:18:59.242
gtm,Ipopt,ERRO: LoadError,300.0,NaN,543.5651,NaN,NaN,NaN,0,2026-05-23T06:18:59.370
harker,Ipopt,ERRO: LoadError,300.0,NaN,-986.5135,NaN,NaN,NaN,0,2026-05-23T06:18:59.418
haverly,Ipopt,LOCALLY_SOLVED,0.0082264,-400.00000351419,-400.0,8.763566045745211e-9,-400.00000054,NaN,21,2026-05-23T06:18:59.462
hhfair,Ipopt,ERRO: LoadError,300.0,NaN,-87.159,NaN,NaN,NaN,0,2026-05-23T06:18:59.504
himmel16,Ipopt,LOCALLY_SOLVED,0.0112771,-0.6749809043216461,-0.866,0.10236821847714568,-0.6749822612030798,NaN,23,2026-05-23T06:18:59.578
house,Ipopt,LOCALLY_SOLVED,0.2536287,-4500.000045094575,-4500.0,1.0018790357310007e-8,-4500.000000219355,NaN,25,2026-05-23T06:18:59.890
hydro,Ipopt,LOCALLY_SOLVED,0.0202085,4.366944087586359e6,4.366944e6,2.0056666415744964e-8,5.09398064568713e6,NaN,35,2026-05-23T06:18:59.999
immun,Ipopt,LOCALLY_SOLVED,0.0122269,1.8310756996141092e-6,0.0,1.8310756996141092e-6,9.488999998190115e9,NaN,34,2026-05-23T06:19:00.067
launch,Ipopt,ERRO: LoadError,300.0,NaN,2257.7976,NaN,NaN,NaN,0,2026-05-23T06:19:00.168
least,Ipopt,ERRO: LoadError,300.0,NaN,14085.1398,NaN,NaN,NaN,0,2026-05-23T06:19:00.193
linear,Ipopt,ITERATION_LIMIT,1.6046002,-4.211122805078966e6,89.0,46791.242278655176,-87.3457593365886,NaN,5000,2026-05-23T06:19:01.880
lnts100,Ipopt,LOCALLY_SOLVED,0.0360714,0.55459540015027,0.5546,2.9588638427908163e-6,0.4075309590383209,NaN,16,2026-05-23T06:19:03.248
lnts50,Ipopt,LOCALLY_SOLVED,0.0219662,0.5546687645610145,0.5547,2.0090975098361043e-5,0.4075442930032475,NaN,16,2026-05-23T06:19:03.917
meanvar,Ipopt,LOCALLY_SOLVED,0.0040357,5.243399280053022,5.2434,1.1531328738796043e-7,10.486798148852756,NaN,9,2026-05-23T06:19:03.951
mhw4d,Ipopt,ERRO: LoadError,300.0,NaN,0.0293,NaN,NaN,NaN,0,2026-05-23T06:19:03.969
minlphi,Ipopt,LOCALLY_SOLVED,0.0180383,582.2361399065012,582.2361,6.84225500254017e-8,535.1722460154954,NaN,34,2026-05-23T06:19:04.198
